"departamento","anio","pbi","pea_ocupada","pbi_por_trabajador","credito_directo","deposito_total","credito_pc","credito_pbi","region"
"Amazonas",2017,2940822,237.924002459379,12360.3418301695,227556.51726,133061.83468,956.425223633548,0.0773785415302252,"Selva"
"Ancash",2017,19317454,614.629183058596,31429.4448302471,2816374.33095,1518959.43863,4582.23333447136,0.14579428173868,"Costa"
"Apurimac",2017,7718535,258.485064328748,29860.66146624,232816.63776,524609.9894,900.696674156377,0.0301633195625854,"Sierra"
"Arequipa",2017,30724797,678.524290786307,45281.7937651055,6810145.19747,5112119.20068,10036.7006604555,0.221649802843937,"Costa"
"Ayacucho",2017,5451854,359.803626736007,15152.3041873063,595513.23738,410156.69266,1655.10626666622,0.109231325229913,"Sierra"
"Cajamarca",2017,10901682,870.320788625682,12526.0503281954,2139612.93463,1233363.39415,2458.41873777214,0.196264478695122,"Sierra"
"Cusco",2017,21576717,755.114926461117,28574.0835519175,2529359.28012,2126355.59655,3349.63485886044,0.117226326883742,"Sierra"
"Huancavelica",2017,3354985,264.308985773585,12693.4201278877,34087.9889,75847.35971,128.970223241675,0.0101603997931436,"Sierra"
"Huanuco",2017,5832171,451.520867973329,12916.7252582986,858918.85534,484988.79384,1902.27942109364,0.147272577457005,"Sierra"
"Ica",2017,16206741,407.923060745798,39729.8965407092,3145842.15269,1830754.00366,7711.85170786499,0.19410701711652,"Costa"
"Junin",2017,14954057,699.710168317204,21371.7874587479,2724257.73481,1672725.47206,3893.40881148235,0.182175160547402,"Sierra"
"La Libertad",2017,20797558,976.34747365411,21301.3896806251,6455041.61129,4005268.36063,6611.41835819081,0.31037497822052,"Costa"
"Lambayeque",2017,11371483,628.416409738907,18095.4583995103,4424755.44906,1776884.49095,7041.12015613722,0.389109797645567,"Costa"
"Lima",2017,224691974,5190.23241940385,43291.3125739768,191376126.36345,196087205.85432,36872.3615628433,0.851726579087555,"Costa"
"Callao",2017,21400320,533.479507376916,40114.6055360664,5862324.89788,3865620.09166,10988.8474005396,0.273936319544754,"Costa"
"Loreto",2017,8087444,505.059343908663,16012.8588799311,1490133.04147,766327.63616,2950.41178713344,0.18425265652164,"Selva"
"Madre de Dios",2017,2409050,81.9086790025869,29411.4131656783,196394.7103,157139.54911,2397.72772179365,0.0815237169423632,"Selva"
"Moquegua",2017,8696704,102.279218150881,85029.0426269265,782950.53526,585454.27189,7655.03050781049,0.0900284217170091,"Costa"
"Pasco",2017,5333755,159.964325320721,33343.4032200997,321626.77848,271285.91834,2010.61566593147,0.0603002534762095,"Sierra"
"Piura",2017,18473111,904.966402858157,20413.0351598207,4730164.96981,2201024.18045,5226.89566692278,0.256056761084259,"Costa"
"Puno",2017,9434737,775.052852918608,12173.0240260025,1635467.27107,859512.29957,2110.13644412938,0.173345295271082,"Sierra"
"San Martin",2017,5944145,472.239951588101,12587.1285985236,1656055.15357,630435.44973,3506.80866369064,0.278602751711138,"Selva"
"Tacna",2017,6584715,179.523985802978,36678.7478037978,1395192.5371,969379.88591,7771.62188584194,0.211883511602249,"Costa"
"Tumbes",2017,2649033,132.282826828566,20025.5245787351,364628.08369,180189.67537,2756.42796901026,0.137645730985609,"Costa"
"Ucayali",2017,4305190,270.965619002059,15888.3256697127,1079865.56386,503885.49709,3985.24937531574,0.250828781972456,"Selva"
