"departamento","anio","pbi","pea_ocupada","pbi_por_trabajador","region"
"Amazonas",2007,1778775,215.766534592119,8243.98001924886,"Selva"
"Amazonas",2008,1930947,215.173095440923,8973.92397522185,"Selva"
"Amazonas",2009,2058318,220.371218446968,9340.23060954001,"Selva"
"Amazonas",2010,2210682,226.124670904163,9776.38570422481,"Selva"
"Amazonas",2011,2287107,229.5659038098,9962.7469151295,"Selva"
"Amazonas",2012,2551601,221.647351292501,11511.9850750336,"Selva"
"Amazonas",2013,2682266,226.194940585665,11858.2051086336,"Selva"
"Amazonas",2014,2824603,223.699574631099,12626.7696514758,"Selva"
"Amazonas",2015,2782128,226.426542592706,12287.1107253732,"Selva"
"Amazonas",2016,2784366,232.665296691062,11967.259576735,"Selva"
"Amazonas",2017,2940822,237.924002459379,12360.3418301695,"Selva"
"Ancash",2007,15672771,547.950187506852,28602.5470149219,"Costa"
"Ancash",2008,16854588,574.031859499672,29361.7640224543,"Costa"
"Ancash",2009,16400826,565.106581693521,29022.5358035111,"Costa"
"Ancash",2010,16013215,573.279105190046,27932.6681454603,"Costa"
"Ancash",2011,16155687,572.993822689982,28195.2201930474,"Costa"
"Ancash",2012,17666947,584.33795415795,30234.1254308197,"Costa"
"Ancash",2013,18478843,583.825375852398,31651.3186379069,"Costa"
"Ancash",2014,16028265,608.586889459367,26336.8555544116,"Costa"
"Ancash",2015,17584621,608.834501732762,28882.4318430602,"Costa"
"Ancash",2016,18365696,611.970373146846,30010.7600071565,"Costa"
"Ancash",2017,19317454,614.629183058596,31429.4448302471,"Costa"
"Apurimac",2007,1824181,230.069209432539,7928.83586856018,"Sierra"
"Apurimac",2008,1688564,233.664662129965,7226.44145078648,"Sierra"
"Apurimac",2009,1623801,226.792419389802,7159.8557146175,"Sierra"
"Apurimac",2010,1765744,231.110591395196,7640.25564272215,"Sierra"
"Apurimac",2011,1869417,238.068331446618,7852.43878780735,"Sierra"
"Apurimac",2012,2110908,240.707334711143,8769.60397793098,"Sierra"
"Apurimac",2013,2342674,250.90296033721,9336.97233723939,"Sierra"
"Apurimac",2014,2437434,252.462284012075,9654.64607728664,"Sierra"
"Apurimac",2015,2630345,263.826672270528,9969.97376104128,"Sierra"
"Apurimac",2016,6343065,257.07333812878,24674.1456977637,"Sierra"
"Apurimac",2017,7718535,258.485064328748,29860.66146624,"Sierra"
"Arequipa",2007,16991831,601.344513825791,28256.3997996704,"Costa"
"Arequipa",2008,18885807,588.978285587555,32065.3705953859,"Costa"
"Arequipa",2009,19032479,597.670282211714,31844.4459536606,"Costa"
"Arequipa",2010,20158733,616.263482242569,32711.2243072441,"Costa"
"Arequipa",2011,21038813,635.086064629182,33127.4990457935,"Costa"
"Arequipa",2012,22033542,628.890199770997,35035.5944615185,"Costa"
"Arequipa",2013,22629103,661.774991428446,34194.5575053462,"Costa"
"Arequipa",2014,22773308,669.319208629421,34024.5845426032,"Costa"
"Arequipa",2015,23524592,665.969985576325,35323.8021374822,"Costa"
"Arequipa",2016,29623112,657.191759791246,45075.2943241553,"Costa"
"Arequipa",2017,30724797,678.524290786307,45281.7937651055,"Costa"
"Ayacucho",2007,2975676,309.09227738269,9627.14444112685,"Sierra"
"Ayacucho",2008,3401175,322.050194988754,10561.0089760038,"Sierra"
"Ayacucho",2009,3750401,316.825388353897,11837.4383425698,"Sierra"
"Ayacucho",2010,3922514,320.639191155984,12233.4203309906,"Sierra"
"Ayacucho",2011,4111349,332.839134143495,12352.3605797733,"Sierra"
"Ayacucho",2012,4482971,320.914816777689,13969.3487667961,"Sierra"
"Ayacucho",2013,4906299,340.413116020996,14412.7789708825,"Sierra"
"Ayacucho",2014,4879476,354.321923321096,13771.3070483027,"Sierra"
"Ayacucho",2015,5162331,351.035073148666,14706.0262488749,"Sierra"
"Ayacucho",2016,5177917,353.22538328306,14658.9606666253,"Sierra"
"Ayacucho",2017,5451854,359.803626736007,15152.3041873063,"Sierra"
"Cajamarca",2007,8159499,794.819949713309,10265.8457465029,"Sierra"
"Cajamarca",2008,9319769,824.24538311068,11307.0320938013,"Sierra"
"Cajamarca",2009,10050467,817.095983735654,12300.2281250369,"Sierra"
"Cajamarca",2010,10140905,801.75362937486,12648.4054807548,"Sierra"
"Cajamarca",2011,10595497,803.747660594979,13182.6162855101,"Sierra"
"Cajamarca",2012,11270583,768.096460689017,14673.3953049201,"Sierra"
"Cajamarca",2013,11086928,791.903430931087,14000.3535367494,"Sierra"
"Cajamarca",2014,10855588,795.937467469436,13638.7448055608,"Sierra"
"Cajamarca",2015,10798612,801.439204382374,13474.025154936,"Sierra"
"Cajamarca",2016,10581305,825.60379016126,12816.4443115422,"Sierra"
"Cajamarca",2017,10901682,870.320788625682,12526.0503281954,"Sierra"
"Cusco",2007,10913725,648.697124402356,16824.068720907,"Sierra"
"Cusco",2008,11663686,684.533710040803,17038.8774561661,"Sierra"
"Cusco",2009,13631820,701.89328483106,19421.499385453,"Sierra"
"Cusco",2010,15405459,692.795037675705,22236.676307158,"Sierra"
"Cusco",2011,17384466,715.516114580148,24296.4003825419,"Sierra"
"Cusco",2012,17711332,734.653141939862,24108.4274862461,"Sierra"
"Cusco",2013,20708699,726.342731259424,28510.919306775,"Sierra"
"Cusco",2014,20723581,732.906776250312,28275.8758297006,"Sierra"
"Cusco",2015,21071852,752.871917804564,27988.6279480941,"Sierra"
"Cusco",2016,21898270,736.693713228306,29725.0670214605,"Sierra"
"Cusco",2017,21576717,755.114926461117,28574.0835519175,"Sierra"
"Huancavelica",2007,2475279,226.393591185255,10933.5206312201,"Sierra"
"Huancavelica",2008,2613850,229.564593490365,11386.1199597825,"Sierra"
"Huancavelica",2009,2696095,233.279371062019,11557.3656930138,"Sierra"
"Huancavelica",2010,2817536,232.426439072342,12122.2697867133,"Sierra"
"Huancavelica",2011,2909215,241.552085283775,12043.8413793127,"Sierra"
"Huancavelica",2012,3143661,249.524691313022,12598.5968901826,"Sierra"
"Huancavelica",2013,3174927,249.850165470668,12707.3239836326,"Sierra"
"Huancavelica",2014,3281748,259.184674260344,12661.8134708982,"Sierra"
"Huancavelica",2015,3265820,256.067996273719,12753.7218532732,"Sierra"
"Huancavelica",2016,3212948,258.949684994521,12407.6150162839,"Sierra"
"Huancavelica",2017,3354985,264.308985773585,12693.4201278877,"Sierra"
"Huanuco",2007,3200861,405.065686428289,7902.07886583518,"Sierra"
"Huanuco",2008,3464132,411.831528129863,8411.52695552646,"Sierra"
"Huanuco",2009,3499798,422.018777755473,8292.99117592312,"Sierra"
"Huanuco",2010,3739082,424.117978385758,8816.13652463254,"Sierra"
"Huanuco",2011,3955589,429.235081175894,9215.43735233296,"Sierra"
"Huanuco",2012,4380310,431.168440347026,10159.1619193522,"Sierra"
"Huanuco",2013,4642728,439.03386489801,10574.8744486454,"Sierra"
"Huanuco",2014,4799787,450.969781456927,10643.2563718428,"Sierra"
"Huanuco",2015,5114983,458.586011558182,11153.8138344437,"Sierra"
"Huanuco",2016,5345445,452.703565621546,11807.8261492394,"Sierra"
"Huanuco",2017,5832171,451.520867973329,12916.7252582986,"Sierra"
"Ica",2007,8793956,345.395446949573,25460.5440739463,"Costa"
"Ica",2008,10415637,358.793373510947,29029.6247616798,"Costa"
"Ica",2009,10841974,367.546200947887,29498.261639051,"Costa"
"Ica",2010,11607992,377.700484096554,30733.3257138018,"Costa"
"Ica",2011,12883432,389.566669023087,33071.1865886979,"Costa"
"Ica",2012,13067505,394.176955009897,33151.3672575605,"Costa"
"Ica",2013,14394675,404.387407198278,35596.2493978999,"Costa"
"Ica",2014,14809397,404.495656856076,36612.0049720815,"Costa"
"Ica",2015,15295581,389.694956945593,39250.1384156621,"Costa"
"Ica",2016,15325191,411.411837810729,37250.243166436,"Costa"
"Ica",2017,16206741,407.923060745798,39729.8965407092,"Costa"
"Junin",2007,9240435,617.514703462535,14963.9108966749,"Sierra"
"Junin",2008,10023855,641.850354409169,15617.1215473225,"Sierra"
"Junin",2009,9039077,642.532514668366,14067.890408107,"Sierra"
"Junin",2010,9518659,656.295265838868,14503.6228287178,"Sierra"
"Junin",2011,10009485,675.310907304707,14822.0395846259,"Sierra"
"Junin",2012,10718558,678.426172906258,15799.1516661033,"Sierra"
"Junin",2013,11095514,679.165754705611,16336.9750655485,"Sierra"
"Junin",2014,12391582,685.47354369649,18077.4037363675,"Sierra"
"Junin",2015,14412891,698.130624892011,20644.9774384692,"Sierra"
"Junin",2016,14285221,705.135826763281,20258.8217160545,"Sierra"
"Junin",2017,14954057,699.710168317204,21371.7874587479,"Sierra"
"La Libertad",2007,14615612,791.25094059444,18471.5255934101,"Costa"
"La Libertad",2008,15653801,807.650197056451,19381.9069902435,"Costa"
"La Libertad",2009,15716171,864.321339137541,18183.2500117171,"Costa"
"La Libertad",2010,16624855,889.6698452805,18686.5443267423,"Costa"
"La Libertad",2011,17378414,876.784662814983,19820.6181483664,"Costa"
"La Libertad",2012,18712792,911.17126697881,20537.0742890592,"Costa"
"La Libertad",2013,19532083,897.182104501612,21770.4777012356,"Costa"
"La Libertad",2014,19821258,911.854908741302,21737.2937404709,"Costa"
"La Libertad",2015,20274733,918.700215923096,22068.9324423727,"Costa"
"La Libertad",2016,20448345,945.85213556171,21618.9658311195,"Costa"
"La Libertad",2017,20797558,976.34747365411,21301.3896806251,"Costa"
"Lambayeque",2007,6880023,571.577950489484,12036.8936452292,"Costa"
"Lambayeque",2008,7512522,574.99993292451,13065.2571762757,"Costa"
"Lambayeque",2009,7910362,606.125555108274,13050.6987097532,"Costa"
"Lambayeque",2010,8449884,614.187821805501,13757.8175600425,"Costa"
"Lambayeque",2011,8937792,610.472526131198,14640.7768039002,"Costa"
"Lambayeque",2012,9782672,616.312961269904,15872.8967501234,"Costa"
"Lambayeque",2013,10138533,617.554770105319,16417.2207726141,"Costa"
"Lambayeque",2014,10354938,602.908811803297,17174.965429728,"Costa"
"Lambayeque",2015,10809529,615.692700194442,17556.6950795198,"Costa"
